滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
日本共產黨	日本共产党 	[ri4 ben3 gong4 chan3 dang3]	/Kommunistische Partei Japans (S, Pol)/
日本刀	日本刀 	[ri4 ben3 dao1]	/Katana (jap. Langschwert) (S, Mil)/
日本動畫公司	日本动画公司 	[ri4 ben3 dong4 hua4 gong1 si1]	/Nippon Animation (Eig, Wirtsch)/
日本動畫	日本动画 	[ri4 ben3 dong4 hua4]	/Anime, japan. Animationsfilm (S, Kunst)/japan. Animation (S, Kunst)/
日本動畫歷史	日本动画历史 	[ri4 ben3 dong4 hua4 li4 shi3]	/Geschichte der japanischen Animationsfilme (S)/Geschichte des Anime (S)/
日本原水爆被害者團體協議會	日本原水爆被害者团体协议会 	[ri4 ben3 yuan2 shui3 bao4 bei4 hai4 zhe3 tuan2 ti3 xie2 yi4 hui4]	/Nihon Hidankyō (jap. Anti-Atomwaffen- und Zeitzeugen-Organisation, Friedensnobelpreis 2024) (Org, Pol)/
日本參議院	日本参议院 	[ri4 ben3 can1 yi4 yuan4]	/Japanisches Oberhaus (S, Pol)/
日本國名	日本国名 	[ri4 ben3 guo2 ming2]	/Cipangu (Gesch)/
日本國家足球隊	日本国家足球队 	[ri4 ben3 guo2 jia1 zu2 qiu2 dui4]	/japanische Fußballnationalmannschaft (S, Sport)/
日本國憲法	日本国宪法 	[ri4 ben3 guo2 xian4 fa3]	/japanische Verfassung (S, Pol)/
日本國旗	日本国旗 	[ri4 ben3 guo2 qi2]	/Flagge Japans (S, Hera)/
日本國	日本国 	[ri4 ben3 guo2]	/Japan (Eig, Geo)/
日本國會	日本国会 	[ri4 ben3 guo2 hui4]	/Kokkai (jap. Parlament) (S, Pol, Rechtsw)/
日本國有鐵道	日本国有铁道 	[ri4 ben3 guo2 you3 tie3 dao4]	/Japanese National Railways (Infra)/
日本國立國會圖書館	日本国立国会图书馆 	[ri4 ben3 guo2 li4 guo2 hui4 tu2 shu1 guan3]	/Nationale Parlamentsbibliothek Japans (S)/
日本外交	日本外交 	[ri4 ben3 wai4 jiao1]	/Außenpolitik Japans (S, Pol)/
日本大學	日本大学 	[ri4 ben3 da4 xue2]	/Nihon-Universität (Japan) (Edu)/
日本大獎賽	日本大奖赛 	[ri4 ben3 da4 jiang3 sai4]	/Großer Preis von Japan (Sport)/
日本天皇	日本天皇 	[ri4 ben3 tian1 huang2]	/Tennō (Kaiser von Japan) (Eig, Pol)/
日本學	日本学 	[ri4 ben3 xue2]	/Japanologie (S)/
日本宇宙航空研究開發機構	日本宇宙航空研究开发机构 	[ri4 ben3 yu3 zhou4 hang2 kong1 yan2 jiu1 kai1 fa1 ji1 gou4]	/JAXA (Org)/
日本宗教	日本宗教 	[ri4 ben3 zong1 jiao4]	/Religion in Japan (S, Rel)/
日本將棋	日本将棋 	[ri4 ben3 jiang1 qi2]	/Shōgi, Shogi (jap. Schach) (S, Spiel)/
日本常綠橡樹	日本常綠橡樹 	[ri4 ben3 chang2 lü2 xiang4 shu4]	/Immergrüne Japanische Eiche, Japanische Roteiche (lat: Quercus acuta) (S, Bot)/
日本年號索引	日本年号索引 	[ri4 ben3 nian2 hao4 suo3 yin3]	/japanische Zeitrechnung (S)/
日本拉麵	日本拉面 	[ri4 ben3 la1 mian4]	/Ramen (jap. Nudeln) (S, Ess)/
日本搖滾樂	日本摇滚乐 	[ri4 ben3 yao2 gun3 yue4]	/J-Rock (S, Mus)/
日本放送協會	日本放送协会 	[ri4 ben3 fang4 song4 xie2 hui4]	/Nippon Hōsō Kyōkai, NHK (Publ)/
日本政治	日本政治 	[ri4 ben3 zheng4 zhi4]	/Politik Japans (S, Pol)/
日本教育	日本教育 	[ri4 ben3 jiao4 yu4]	/Schule in Japan (S, Edu)/
日本文化	日本文化 	[ri4 ben3 wen2 hua4]	/Kultur Japans (S)/
日本文學	日本文学 	[ri4 ben3 wen2 xue2]	/Japanische literatur (S, Lit)/
日本料理	日本料理 	[ri4 ben3 liao4 li3]	/Japanische Küche (S, Ess)/
日本新力音樂	日本新力音乐 	[ri4 ben3 xin1 li4 yin1 yue4]	/Sony BMG Music Entertainment (Org)/
日本新年	日本新年 	[ri4 ben3 xin1 nian2]	/Japanisches Neujahrsfest (S)/
日本	日本 	[ri4 ben3]	/Japan (Staat in Asien) (Geo)/
日本書紀	日本书纪 	[ri4 ben3 shu1 ji4]	/Nihonshoki (jap. Geschichtswerk, ca. 720) (Lit, Werk)/
日本柚子	日本柚子 	[ri4 ben3 you4 zi3]	/Yuzu (lat: Citrus × junos) (S, Bot)/
日本棒球	日本棒球 	[ri4 ben3 bang4 qiu2]	/Baseball in Japan (S, Sport)/
日本標準時間	日本标准时间 	[ri4 ben3 biao1 zhun3 shi2 jian1]	/Japan Standard Time (S)/
日本武士	日本武士 	[ri4 ben3 wu3 shi4]	/Samurai (Gesch)/
日本武道館	日本武道馆 	[ri4 ben3 wu3 dao4 guan3]	/Nippon Budokan Hall (Eig)/
日本歷史教科書問題	日本历史教科书问题 	[ri4 ben3 li4 shi3 jiao4 ke1 shu1 wen4 ti2]	/Japanischer Schulbuchstreit (Pol)/
日本歷史	日本历史 	[ri4 ben3 li4 shi3]	/Geschichte Japans (Gesch)/
日本民主黨	日本民主党 	[ri4 ben3 min2 zhu3 dang3]	/Demokratische Partei Japans (Pol)/
日本民族主義	日本民族主义 	[ri4 ben3 min2 zu2 zhu3 yi4]	/Japanischer Nationalismus (S, Pol)/
日本民族	日本民族 	[ri4 ben3 min2 zu2]	/Yamato (S)/
日本氣象廳	日本气象厅 	[ri4 ben3 qi4 xiang4 ting1]	/Japan Meteorological Agency (Org, Met)/
日本泡沫經濟	日本泡沫经济 	[ri4 ben3 pao4 mo4 jing1 ji4]	/jap. Bubble Economy (S, Wirtsch)/
日本海上自衛隊	日本海上自卫队 	[ri4 ben3 hai3 shang4 zi4 wei4 dui4]	/Japanische Meeresselbstverteidigungsstreitkräfte (S, Mil)/
日本海	日本海 	[ri4 ben3 hai3]	/Japanisches Meer (Randmeer des Pazifik) (Geo)/
日本海溝	日本海沟 	[ri4 ben3 hai3 gou1]	/Japangraben (Tiefseerinne im Nordatlantik) (Geo)/
日本海獅	日本海狮 	[ri4 ben3 hai3 shi1]	/Japanischer Seelöwe (lat: Zalophus japonicus) (S, Zool)/
日本漫畫	日本漫画 	[ri4 ben3 man4 hua4]	/Manga (jap. Comic) (S, Kunst)/
日本獼猴	日本猕猴 	[ri4 ben3 mi2 hou2]	/Japanmakak, Schneeaffe, Rotgesichtsmakak (lat: Macaca fuscata) (S, Zool)/
日本琵琶	日本琵琶 	[ri4 ben3 pi2 pa2]	/Biwa (jap. Laute) (S, Mus)/
日本皇室	日本皇室 	[ri4 ben3 huang2 shi4]	/Japanisches Kaiserhaus (S, Pol)/
日本眾議院	日本众议院 	[ri4 ben3 zhong4 yi4 yuan4]	/Japanisches Unterhaus (S, Pol)/
日本社會黨	日本社会党 	[ri4 ben3 she4 hui4 dang3]	/Sozialistische Partei Japans (S, Pol)/
日本神話	日本神话 	[ri4 ben3 shen2 hua4]	/japanische Mythologie (S, Myth)/
日本禪宗	日本禅宗 	[ri4 ben3 chan2 zong1]	/japanisches Zen (S, Rel)/
日本節日	日本节日 	[ri4 ben3 jie2 ri4]	/Japanische Feiertage (S)/
日本紙	日本纸 	[ri4 ben3 zhi3]	/Japanpapier (S)/
日本經濟團體聯合會	日本经济团体联合会 	[ri4 ben3 jing1 ji4 tuan2 ti3 lian2 he2 hui4]	/Nihon Keidanren (Wirtsch)/
日本經濟新聞	日本经济新闻 	[ri4 ben3 jing1 ji4 xin1 wen2]	/Nihon Keizai Shimbun (japanische Wirtschaftszeitung) (Eig, Wirtsch)/
日本經濟	日本经济 	[ri4 ben3 jing1 ji4]	/Wirtschaft Japans (Wirtsch)/
日本職業足球聯賽	日本职业足球联赛 	[ri4 ben3 zhi2 ye4 zu2 qiu2 lian2 sai4]	/J. League (Sport, Org)/
日本自衛隊	日本自卫队 	[ri4 ben3 zi4 wei4 dui4]	/Selbstverteidigungsstreitkräfte (S, Mil)/
日本航空	日本航空 	[ri4 ben3 hang2 kong1]	/Japan Airlines (Eig, Wirtsch)/
日本色情業	日本色情业 	[ri4 ben3 se4 qing2 ye4]	/japanische Pornografie (S)/
日本花柏	日本花柏 	[ri4 ben3 hua1 bo2]	/Sawara-Scheinzypresse (lat: Chamaecyparis pisifera) (S, Bot)/
日本茶道	日本茶道 	[ri4 ben3 cha2 dao4]	/Teezeremonie (jap.) (S)/
日本藍橡樹	日本蓝橡树 	[ri4 ben3 lan2 xiang4 shu4]	/Japanische Blau-Eiche (lat: Quercus glauca) (S, Bot)/
日本語	日本语 	[ri4 ben3 yu3]	/Japanisch (S)/
日本語系	日本语系 	[ri4 ben3 yu3 xi4]	/Japanisch-Ryukyu (Sprachw)/
日本語能力測試	日本语能力测试 	[ri4 ben3 yu3 neng2 li4 ce4 shi4]	/Japanese Language Proficiency Test (S, Sprachw)/
日本語能力試驗	日本语能力试验 	[ri4 ben3 yu3 neng2 li4 shi4 yan4]	/Japanese Language Proficiency Test (S)/
日本警察	日本警察 	[ri4 ben3 jing3 cha2]	/japanische Polizei (S)/Polizei Japans (S)/
日本赤軍	日本赤军 	[ri4 ben3 chi4 jun1]	/Japanische Rote Armee (S, Pol)/
日本軍	日本军 	[ri4 ben3 jun1]	/Kaiserliche Japanische Armee (S, Mil)/
日本銀行	日本银行 	[ri4 ben3 yin2 hang2]	/Bank of Japan (Org, Wirtsch)/
日本鎖國	日本锁国 	[ri4 ben3 suo3 guo2]	/Abschließung Japans (Gesch)/
日本長期信貸銀行	日本长期信贷银行 	[ri4 ben3 chang2 qi1 xin4 dai4 yin2 hang2]	/jap. Bank (Eig, Wirtsch)/
日本阿爾卑斯山脈	日本阿尔卑斯山脉 	[ri4 ben3 a1 er3 bei1 si1 shan1 mai4]	/Japanische Alpen (Gebirge in Japan) (Geo)/
日本雅樂	日本雅乐 	[ri4 ben3 ya3 le4]	/Gagaku (Eig, Mus)/
日本雲雀	日本云雀 	[ri4 ben3 yun2 que4]	/Japanische Feldlerche (lat. Alauda japonica) (S, Zool)/
日本電信電話	日本电信电话 	[ri4 ben3 dian4 xin4 dian4 hua4]	/Nippon Telegraph and Telephone (Org)/
日本電報電話公司	日本电报电话公司 	[ri4 ben3 dian4 bao4 dian4 hua4 gong1 si1]	/Nippon Telegraph and Telephone (Org)/
日本電影	日本电影 	[ri4 ben3 dian4 ying3]	/Japanischer Film (S)/
日本電氣	日本电气 	[ri4 ben3 dian4 qi4]	/NEC (Eig, Wirtsch)/NEC Corporation (Eig, Wirtsch)/
日本電氣股份有限公司	日本电气股份有限公司 	[ri4 ben3 dian4 qi4 gu3 fen4 you3 xian4 gong1 si1]	/NEC Corporation (S, Wirtsch)/
日本電視劇	日本电视剧 	[ri4 ben3 dian4 shi4 ju4]	/japanisches Fernsehdrama (S)/
日本電視臺	日本电视台 	[ri4 ben3 dian4 shi4 tai2]	/Nippon TV (Eig)/
日本首相	日本首相 	[ri4 ben3 shou3 xiang4]	/japanischer Premierminister (S, Pol)/
日本鵪鶉	日本鹌鹑 	[ri4 ben3 an1 chun2]	/Japanwachtel (lat: Coturnix japonica) (S, Zool)/
日本黑道	日本黑道 	[ri4 ben3 hei1 dao4]	/Yakuza (jap. kriminelle Organisationen) (Org)/
日本龍	日本龙 	[ri4 ben3 long2]	/Nipponosaurus (S, Zool)/
日本龍蝦	日本龙虾 	[ri4 ben3 long2 xia1]	/Japanische Languste (S, Zool)/
日正當中	日正当中 	[ri4 zheng4 dang1 zhong1]	/Zwölf Uhr mittags (S)/
日沒	日没 	[ri4 mei2]	/Abendrot (S)/
日清	日清 	[ri4 qing1]	/japanisch-chinesisch (Mandschuzeit) (Adj)/
日清食品	日清食品 	[ri4 qing1 shi2 pin3]	/Nissin Foods (Org)/
日漸	日渐 	[ri4 jian4]	/allmählich (Adj)/nach und nach (Adv)/
日灼	日灼 	[ri4 zhuo2]	/sonnenverbrannt (Adj)/
日炙	日炙 	[ri4 zhi4]	/sonnenverbrannt (Adj)/
日照市	日照市 	[ri4 zhao4 shi4]	/Rizhao (Geo)/
日照	日照 	[ri4 zhao4]	/Rizhao (Eig, Geo)/
日照時間	日照时间 	[ri4 zhao4 shi2 jian1]	/Sonnenscheindauer (S)/
日爾曼人	日尔曼人 	[ri4 er3 man4 ren2]	/Germanen (S, Ethn)/
日爾蘭郵報	日尔兰邮报 	[ri4 er3 lan2 you2 bao4]	/Jyllands-Posten (Publ)/
日爾蘭郵報穆罕默德漫畫事件	日尔兰邮报穆罕默德漫画事件 	[ri4 er3 lan2 you2 bao4 mu4 han3 mo4 de2 man4 hua4 shi4 jian4]	/Das Gesicht Mohammeds (S, Rel)/
日珥	日珥 	[ri4 er3]	/Protuberanz (S)/
日生效率	日生效率 	[ri4 sheng1 xiao4 lü4]	/Tagesleistung (S, Tech)/
日產天際線	日产天际线 	[ri4 chan3 tian1 ji4 xian4]	/Nissan Skyline (Eig)/
日產帕拉丁	日产帕拉丁 	[ri4 chan3 pa4 la1 ding1]	/Nissan Paladin (Sport)/
日產	日产 	[ri4 chan3]	/Nissan (Automarke) (Eig)/
日產汽車	日产汽车 	[ri4 chan3 qi4 che1]	/Nissan 200SX (Eig, Kfz)/Nissan 300ZX (Eig, Kfz)/
日產途樂	日产途乐 	[ri4 chan3 tu2 le4]	/Nissan Patrol (Eig, Kfz)/
日用品	日用品 	[ri4 yong4 pin3]	/Konsumgüter, Artikel des täglichen Bedarfs (S)/
日用	日用 	[ri4 yong4]	/Gebrauchs- (Vorsilbe)/
日用消費品	日用消费品 	[ri4 yong4 xiao1 fei4 pin3]	/tägliche Gebrauchsgüter, alltägliche Bedarfsartikel, Artikel zum täglichen Gebrauch (S)/
日界線	日界线 	[ri4 jie4 xian4]	/Datumszeile (S)/
日發	日发 	[ri4 fa1]	/täglich (Adj)/
日發病	日发病 	[ri4 fa1 bing4]	/täglich ausbrechende Krankheit (S, Med)/
日益增多地	日益增多地 	[ri4 yi4 zeng1 duo1 de5]	/allmählich (Adj)/
日益增長	日益增长 	[ri4 yi4 zeng1 chang2]	/zunehmend wachsen (V)/
日益廣泛	日益广泛 	[ri4 yi4 guang3 fan4]	/immer umfangreicher (Redew)/
日益	日益 	[ri4 yi4]	/sich vergrößernd (Adj), mehr und mehr (Redew)/von Tag zu Tag mehr (Redew)/
日益明顯	日益明显 	[ri4 yi4 ming2 xian3]	/immer stärker zu Tage treten (V)/
日益更多	日益更多 	[ri4 yi4 geng4 duo1]	/in immer höherem Maße (S)/
日益發展	日益发展 	[ri4 yi4 fa1 zhan3]	/stürmische Entwicklung (S)/
日知錄	日知錄 	[ri4 zhi1 lu4]	/Ri Zhi Lu (Eig, Werk, Autor: Gu Yanwu)/
日程安排	日程安排 	[ri4 cheng2 an1 pai2]	/Veranstaltungskalender (S)/
日程	日程 	[ri4 cheng2]	/Programm, Tagesplan, Tagesordnung (S)/
日程表	日程表 	[ri4 cheng2 biao3]	/Terminplan, Ablaufplan (S)/
日空航空	日空航空 	[ri4 kong1 hang2 kong1]	/Air Nippon (Org)/
日立中國公司	日立中国公司 	[ri4 li4 zhong1 guo2 gong1 si1]	/Hitachi (China), Ltd. (Org, Wirtsch)/
日立公司	日立公司 	[ri4 li4 gong1 si1]	/Hitachi (S)/
日立所倡導	日立所倡导 	[ri4 li4 suo3 chang4 dao3]	/DVD-RW (S)/DVD (S)/
日立	日立 	[ri4 li4]	/Hitachi (Eig, Wirtsch)/
日系搖滾	日系摇滚 	[ri4 xi4 yao2 gun3]	/J-Rock (S, Mus)/
日經平均指數	日经平均指数 	[ri4 jing1 ping2 jun1 zhi3 shu4]	/Nikkei (S, Wirtsch)/
日經平均股票價格	日经平均股票价格 	[ri4 jing1 ping2 jun1 gu3 piao4 jia4 ge2]	/Nikkei (Wirtsch)/
日經指數	日经指数 	[ri4 jing1 zhi3 shu4]	/Nikkei (Wirtsch)/
日经理	日經理 	[ri4 jing1 li3]	/der japanische Ministerpräsident (alt) (S, Pol)/
日耳曼人	日耳曼人 	[ri4 er3 man4 ren2]	/Germane (S)/Teutone (S)/
日耳曼族	日耳曼族 	[ri4 er3 man4 zu2]	/germanischer Stamm (S, Gesch)/
日耳曼	日耳曼 	[ri4 er3 man4]	/germanisch (Adj)/
日耳曼語族	日耳曼语族 	[ri4 er3 man4 yu3 zu2]	/Germanische Sprachen (S, Sprachw)/
日耳曼語言文學	日耳曼语言文学 	[ri4 er3 man4 yu3 yan2 wen2 xue2]	/die Germanistik (S)/
日至	日至 	[ri4 zhi4]	/Sonnenwende (S)/
日臻	日臻 	[ri4 zhen1]	/täglich besser werden (V)/
日舞影展	日舞影展 	[ri4 wu3 ying3 zhan3]	/Sundance Film Festival (Org, Film)/
日落	日落 	[ri4 luo4]	/Sonnenuntergang (S, Astron)/
日落時	日落时 	[ri4 luo4 shi2]	/bei Sonnenuntergang (S, temp)/
日落的方向	日落的方向 	[ri4 luo4 de5 fang1 xiang4]	/Abendrot (S)/
日蓮	日莲 	[ri4 lian2]	/Nichiren (Eig, Pers, 1222 - 1282)/
日薄西山	日薄西山 	[ri4 bo2 xi1 shan1]	/sich im Niedergang befinden (Sprichw)/
日蝕	日蚀 	[ri4 shi2]	/Sonnenfinsternis (S, Astron)/in den Schatten stellen, verfinstern (V) /
日裔巴西人	日裔巴西人 	[ri4 yi4 ba1 xi1 ren2]	/Japanese-Brazilian (Eig, Pers)/
日製漢字	日制汉字 	[ri4 zhi4 han4 zi4]	/Kokuji (S, Sprachw)/
日規	日规 	[ri4 gui1]	/Sonnenuhr (S)/
日託	日托 	[ri4 tuo1]	/Kindertagesbetreuung (S)/
日託託兒所席位	日托托儿所席位 	[ri4 tuo1 tuo1 er2 suo3 xi2 wei4]	/Krippenplätze (S)/
日託託兒所	日托托儿所 	[ri4 tuo1 tuo1 er2 suo3]	/Kindertagesstätte, Kita (S)/
日託阿姨	日托阿姨 	[ri4 tuo1 a1 yi2]	/Tagesmütter (S)/
日記作者	日记作者 	[ri4 ji4 zuo2 zhe3]	/Tagebuchschreiber (S)/
日記	日记 	[ri4 ji4]	/Tagebuch (S, Lit)/
日記本	日记本 	[ri4 ji4 ben3]	/Tagebuch (S)/
日記簿	日记簿 	[ri4 ji4 bu4]	/Taschenkalender (S)/
日誌	日志 	[ri4 zhi4]	/Blog (S, EDV)/Journal (S)/Protokoll (S)/Taschenkalender (S)/
日語	日语 	[ri4 yu3]	/Japanisch (S)/Japanische Sprache (S, Sprachw)/
日趨成熟	日趋成熟 	[ri4 qu1 cheng2 shu2]	/täglich reifer werden (V)/
日趨	日趋 	[ri4 qu1]	/allmählich (Adj)/Tag für Tag (S)/
日軍	日军 	[ri4 jun1]	/Kaiserliche Japanische Armee (S, Gesch)/
日過正午	日过正午 	[ri4 guo4 zheng4 wu3]	/die Sonne hat den Zenit überschritten (Redew)/
日部	日部 	[ri4 bu4]	/Radikal 72: Sonne, Tag (Sprachw)/
日野汽車	日野汽车 	[ri4 ye3 qi4 che1]	/Hino Motors (Eig, Wirtsch)/
日間	日间 	[ri4 jian1]	/am Tage vorkommend (Adj), tags, tagsüber (Adv)/
日電	日电 	[ri4 dian4]	/NEC (Eig, Wirtsch)/NEC Corporation (Eig, Wirtsch)/
日霜	日霜 	[ri4 shuang1]	/Tagescreme (S)/
日韓併合	日韩并合 	[ri4 han2 bing4 he2]	/Ilje Sidae (Gesch)/
日頭	日头 	[ri4 tou2]	/Sonne (S)/
日食	日食 	[ri4 shi2]	/Sonnenfinsternis (S, Astron)/
日鷉科	日鷉科 	[ri4 ti1 ke1]	/Binsenrallen (Heliornithidae) (S)/
旦日	旦日 	[dan4 ri4]	/am nächsten Tag (S, temp)/morgen (Adv)/
旦	旦 	[dan4]	/Tagesanbruch, Morgen (S)/
旨在	旨在 	[zhi3 zai4]	/auf etw. hinzielen, abzielen (V)/
旨意	旨意 	[zhi3 yi4]	/anordnen, gliedern (V)/Auftrag (S)/Dekret (S)/
旨	旨 	[zhi3]	/Ziel (S), zum Ziel haben (V)/behaupten, beabsichtigen (V)/Zweck (S)/
旨趣	旨趣 	[zhi3 qu4]	/Zielsetzung, Leitsatz (S)/
早三疊世	早三叠世 	[zao3 san1 die2 shi4]	/Untertrias, untere Trias (S, Geol)/
早上好	早上好 	[zao3 shang5 hao3]	/Guten Morgen! (Int)/
早上	早上 	[zao3 shang5]	/Morgen (S); am Morgen; morgens (Adv); Bsp.: 早上好。 早上好。 -- Guten Morgen.; Bsp.: 大家早上好。 大家早上好。 -- Guten Morgen zusammen./
早些	早些 	[zao3 xie1]	/eher (Adv), früher (Adj)/
早人類	早人类 	[zao3 ren2 lei4]	/Frühmenschen, Hominiden (S, Zool)/
早先	早先 	[zao3 xian1]	/vorher (Adv)/
早出晚歸	早出晚归 	[zao3 chu1 wan3 gui1]	/früh weggehen, spät zurückkommen (V)/
早前	早前 	[zao3 qian2]	/vor langer Zeit (S)/
早午餐	早午餐 	[zao3 wu3 can1]	/Brunch (S, Ess)/
早在	早在 	[zao3 zai4]	/schon (früher) (Adv)/
早報	早报 	[zao3 bao4]	/Morgenzeitung (S)/
早夭	早夭 	[zao3 yao3]	/früh sterben (V)/misslingend (Adj)/
早安少女組	早安少女组 	[zao3 an1 shao4 nü3 zu3]	/Morning Musume (Musikgruppe) (Eig, Mus)/
早安	早安 	[zao3 an1]	/Guten Morgen! (Int)/
早安越南	早安越南 	[zao3 an1 yue4 nan2]	/Good Morning Vietnam (Film)/
早已	早已 	[zao3 yi3]	/lang (Adj)/längst (Adv), schon lange her (Redew)/
早年	早年 	[zao3 nian2]	/frühe Jahre, junge Jahre (S, temp)/
早慧	早慧 	[zao3 hui4]	/altklug (Adj)/
早戀	早恋 	[zao3 lian4]	/Jugendliebe (S)/
早成	早成 	[zao3 cheng2]	/Frühreife (S)/
早操	早操 	[zao3 cao1]	/Frühsport (S, Sport)/Morgengymnastik (S, Sport)/
早擬	早拟 	[zao3 ni3]	/erarbeiten (Vertrag) (V)/
早日康復	早日康复 	[zao3 ri4 kang1 fu4]	/Gute Besserung! (Int)/
早日	早日 	[zao3 ri4]	/sehr bald, früh, schnell (Adv)/
早	早 	[zao3]	/Morgen (S); Bsp.: 早班 早班 -- Frühschicht; Bsp.: 早餐 早餐 -- Frühstück; Bsp.: 早飯 早饭 -- Frühstück; Bsp.: 早上 早上 -- Morgen; am Morgen; morgens; Bsp.: 從早到晚 从早到晚 -- von morgens bis abends/früh; frühzeitig (Adj); Bsp.: 早稻 早稻 -- Frühreis; Bsp.: 早秋 早秋 -- Frühherbst; Bsp.: 早些來 早些来 -- etw. früher kommen; Bsp.: 你早點兒來。 你早点儿来。 -- Bitte komme ein bisschen früher./guten Morgen (S); Bsp.: 老師早。 老师早。 -- Guten Morgen, Herr Lehrer./vor langer Zeit (S); Bsp.: 他早走了。 他早走了。 -- Er ist schon vor einer ganzen Weile gegangen.; Bsp.: 我早知道了。 我早知道了。 -- Das wusste ich schon eine ganze Weile./
早早兒	早早儿 	[zao3 zao3 r5]	/so früh wie möglich (Adj)/
早春	早春 	[zao3 chun1]	/Vorfrühling (S)/
早晚	早晚 	[zao3 wan3]	/früher oder später, über kurz oder lang (Redew)/eines (zukünftigen) Tages (S), später einmal (Adv)/Zeit (S)/
早晨好	早晨好 	[zao3 chen2 hao3]	/Guten Morgen! (Int)/
早晨	早晨 	[zao3 chen2]	/Morgen (S)/
早晨節目	早晨节目 	[zao3 chen2 jie2 mu4]	/Morgenprogramm (S)/Morgensendung (TV) (S)/
早晨雜志	早晨杂志 	[zao3 chen2 za2 zhi4]	/Morgenmagazin (S, Publ)/
早期基督教	早期基督教 	[zao3 qi1 ji1 du1 jiao4]	/Alte Kirche (S, Rel)/
早期教育	早期教育 	[zao3 qi1 jiao4 yu4]	/frühkindliche Erziehung (S)/
早期	早期 	[zao3 qi1]	/Anfangsphase (S)/Frühphase (S)/Ursprünglichkeit (S)/vorausgehen (V)/anfänglich (Adj)/
早期診斷	早期诊断 	[zao3 qi1 zhen3 duan4]	/Früherkennung (S, Med)/
早泄	早泄 	[zao3 xie4]	/Vorzeitiger Samenerguss (S, Psych)/
早熟	早熟 	[zao3 shou2]	/Voreiligkeit (S)/altklug (Adj)/früh (Adj)/frühreif (Adj)/frühzeitig (Adj)/verfrüht (Adj)/
早產	早产 	[zao3 chan3]	/Frühgeburt (S, Med)/
早發	早发 	[zao3 fa1]	/frühreif (Adj)/
早禱會	早祷会 	[zao3 dao3 hui4]	/Morgenandacht (S, Rel)/
早稻田大學	早稻田大学 	[zao3 dao4 tian2 da4 xue2]	/Waseda-Universität (Edu)/
早茶	早茶 	[zao3 cha2]	/kantonesisches Frühstück (S, Ess)/
早衰	早衰 	[zao3 shuai1]	/vergreisen (V)/
早起	早起 	[zao3 qi3]	/früh aufstehen (V)/
早起者	早起者 	[zao3 qi3 zhe3]	/Frühaufsteher (S)/
早退	早退 	[zao3 tui4]	/etw. vorzeitig verlassen, früher gehen (V)/
早開花	早开花 	[zao3 kai1 hua1]	/Voreiligkeit (S)/
早防粒細胞性白血病	早防粒细胞性白血病 	[zao3 fang2 li4 xi4 bao1 xing4 bai2 xie3 bing4]	/Promyelozytenleukämie (S, Med)/
早霞不出門晚霞行千里	早霞不出门晚霞行千里 	[zao3 xia2 bu4 chu1 men2 wan3 xia2 xing2 qian1 li3]	/Bei Morgenröte bleib zuhaus, bei Abendröte wandere (am nächsten Morgen) weit hinaus. (Lit)/
早霞	早霞 	[zao3 xia2]	/Morgenröte (S)/
早飯	早饭 	[zao3 fan4]	/Frühstück (S, Ess)/
早餐	早餐 	[zao3 can1]	/Frühstück (S, Ess)/
早點	早点 	[zao3 dian3]	/Frühstück (S)/Pause machen (V)/
旪	旪 	[xie2]	/alte Variante von 協|协[xie2] (X)/
旬休	旬休 	[xun2 xiu1]	/nach Verlauf von zehn Tagen (Redew)/
旬內	旬内 	[xun2 nei4]	/innerhalb zehn Tagen (S, temp)/
旬刊	旬刊 	[xun2 kan1]	/alle zehn Tage erscheinende Publikation (S, Publ)/
旬報	旬报 	[xun2 bao4]	/Wochenschrift (S, Publ)/Zeitschrift (die dreimal monatlich erscheint) (S, Publ)/
旬外	旬外 	[xun2 wai4]	/über zehn Tage/
旬日	旬日 	[xun2 ri4]	/(lit.) zehn Tage (S, temp)/kurze Periode (S)/
旬	旬 	[xun2]	/Periode von 10 Tagen, Dekade, Monatsdrittel; Jahrzehnt (S); Bsp.: 十天為一旬，一月三旬 十天为一旬，一月三旬 -- 10 Tage sind eine Dekade, 3 Dekaden sind ein Monat./
旬歲	旬岁 	[xun2 sui4]	/ein ganzes Jahr, Geburtstag (S, temp)/
旬邑	旬邑 	[xun2 yi4]	/Xunyi (Ort in Shaanxi) (Eig, Geo)/
旬邑縣	旬邑县 	[xun2 yi4 xian4]	/Kreis Xunyi (Provinz Shaanxi, China) (Eig, Geo)/
旬陽	旬阳 	[xun2 yang2]	/Xunyang (Ort in Shaanxi) (Geo)/
旬陽縣	旬阳县 	[xun2 yang2 xian4]	/Xunyang (Kreis in Shaanxi) (Geo)/
旭川市	旭川市 	[xu4 chuan1 shi4]	/Asahikawa (Stadt in Japan) (Geo)/
旭日	旭日 	[xu4 ri4]	/Sonnenaufgang (S)/
旭	旭 	[xu4]	/Sonnenaufgang (S)/Strahlen der aufgehenden Sonne (S)/
旭烈兀	旭烈兀 	[xu4 lie4 wu4]	/Hulagu Ilchan (Eig, Pers, 1217 - 1265)/
旮	旮 	[ga1]	/siehe 旮旯[ga1 la2] (X)/
旯	旯 	[la2]	/siehe 旮旯[ga1 la2] (X)/
旰	旰 	[gan4]	/Abendrot (S)/
